FAN_WORK_FILENAME,FAN_WORK_WORD_INDEX,FAN_WORK_WORD,FAN_WORK_ORTH_ID,ORIGINAL_SCRIPT_WORD_INDEX,ORIGINAL_SCRIPT_WORD,ORIGINAL_SCRIPT_ORTH_ID,ORIGINAL_SCRIPT_CHARACTER,ORIGINAL_SCRIPT_SCENE,BEST_MATCH_DISTANCE,BEST_LEVENSHTEIN_DISTANCE,BEST_COMBINED_DISTANCE
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,1419,and,2283656566040971221,169,'s,16428057658620181782,031c_dawns_wicked_stepsister_ch2.txt,1,0.07071456767089346,13,0.919289379721615
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,1420,the,7425985699627899538,170,the,7425985699627899538,031c_dawns_wicked_stepsister_ch2.txt,1,-2.220446049250313e-16,10,-2.220446049250313e-15
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,1421,president,13696383780240996584,171,president,13696383780240996584,031c_dawns_wicked_stepsister_ch2.txt,1,-2.220446049250313e-16,10,-2.220446049250313e-15
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,1422,of,886050111519832510,172,of,886050111519832510,031c_dawns_wicked_stepsister_ch2.txt,1,-2.220446049250313e-16,10,-2.220446049250313e-15
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,1423,the,7425985699627899538,173,the,7425985699627899538,031c_dawns_wicked_stepsister_ch2.txt,1,-2.220446049250313e-16,10,-2.220446049250313e-15
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,1424,BSC,18039795961883216030,174,bsc,15548191259063939365,031c_dawns_wicked_stepsister_ch2.txt,1,-2.220446049250313e-16,10,-2.220446049250313e-15
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,1425,.,12646065887601541794,175,.,12646065887601541794,031c_dawns_wicked_stepsister_ch2.txt,1,-2.220446049250313e-16,10,-2.220446049250313e-15
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,141,except,1855464178306270225,24,for,16037325823156266367,031c_dawns_wicked_stepsister_ch2.txt,1,0.06828792456861044,16,1.092606793097767
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,142,Mary,10580883238578074496,25,mary,11644708027372808558,031c_dawns_wicked_stepsister_ch2.txt,1,0.02918917686664435,14,0.4086484761330209
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,143,Anne,5756710053771707941,26,anne,10959042067581813360,031c_dawns_wicked_stepsister_ch2.txt,1,0.02918917686664435,14,0.4086484761330209
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,144,.,12646065887601541794,27,.,12646065887601541794,031c_dawns_wicked_stepsister_ch2.txt,1,0.02918917686664435,14,0.4086484761330209
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,145,She,5252949303365547547,28,she,6740321247510922449,031c_dawns_wicked_stepsister_ch2.txt,1,0.02918917686664435,14,0.4086484761330209
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,146,was,9921686513378912864,29,was,9921686513378912864,031c_dawns_wicked_stepsister_ch2.txt,1,0.02918917686664435,14,0.4086484761330209
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,147,there,2112642640949226496,30,one,17454115351911680600,031c_dawns_wicked_stepsister_ch2.txt,1,0.02918917686664435,14,0.4086484761330209
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,151,Logan,4338965940169512111,2285,logan,6048270139956494520,031c_dawns_wicked_stepsister_ch2.txt,1,0.03623571601707909,14,0.5073000242391073
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,152,Bruno,421660493592562399,2286,bruno,14795241431048593571,031c_dawns_wicked_stepsister_ch2.txt,1,0.03623571601707909,14,0.5073000242391073
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,153,.,12646065887601541794,2287,.,12646065887601541794,031c_dawns_wicked_stepsister_ch2.txt,1,0.03623571601707909,14,0.5073000242391073
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,154,He,1692983299745037067,2288,he,1655312771067108281,031c_dawns_wicked_stepsister_ch2.txt,1,0.03623571601707909,14,0.5073000242391073
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,155,'s,16428057658620181782,2289,'s,16428057658620181782,031c_dawns_wicked_stepsister_ch2.txt,1,0.03623571601707909,14,0.5073000242391073
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,156,also,12084876542534825196,2290,only,13398675276606405380,031c_dawns_wicked_stepsister_ch2.txt,1,0.03623571601707909,14,0.5073000242391073
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,632,mentioned,4765823856305230395,169,'s,16428057658620181782,031c_dawns_wicked_stepsister_ch2.txt,1,0.08225606609572245,19,1.5628652558187266
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,633,the,7425985699627899538,170,the,7425985699627899538,031c_dawns_wicked_stepsister_ch2.txt,1,0.07609882102764243,12,0.9131858523317091
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,634,president,13696383780240996584,171,president,13696383780240996584,031c_dawns_wicked_stepsister_ch2.txt,1,0.07609882102764243,12,0.9131858523317091
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,635,of,886050111519832510,172,of,886050111519832510,031c_dawns_wicked_stepsister_ch2.txt,1,0.07609882102764243,12,0.9131858523317091
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,636,the,7425985699627899538,173,the,7425985699627899538,031c_dawns_wicked_stepsister_ch2.txt,1,0.07609882102764243,12,0.9131858523317091
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,637,BSC,18039795961883216030,174,bsc,15548191259063939365,031c_dawns_wicked_stepsister_ch2.txt,1,0.07609882102764243,12,0.9131858523317091
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,638,is,3411606890003347522,175,.,12646065887601541794,031c_dawns_wicked_stepsister_ch2.txt,1,0.07609882102764243,12,0.9131858523317091
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,639,Kristy,6704244008727235475,176,kristy,1525589585798189602,031c_dawns_wicked_stepsister_ch2.txt,1,0.07125815585772277,13,0.926356026150396
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,712,wears,18332624955911512465,313,clothes,587577613238154100,031c_dawns_wicked_stepsister_ch2.txt,1,0.0713168719863051,12,0.8558024638356612
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,713,jeans,10813523599423683000,314,jeans,10813523599423683000,031c_dawns_wicked_stepsister_ch2.txt,1,-2.220446049250313e-16,7,-1.5543122344752192e-15
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,714,a,11901859001352538922,315,a,11901859001352538922,031c_dawns_wicked_stepsister_ch2.txt,1,-2.220446049250313e-16,7,-1.5543122344752192e-15
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,715,turtleneck,4351170247190542434,316,turtleneck,4351170247190542434,031c_dawns_wicked_stepsister_ch2.txt,1,-2.220446049250313e-16,7,-1.5543122344752192e-15
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,716,shirt,682501080797652416,317,shirt,682501080797652416,031c_dawns_wicked_stepsister_ch2.txt,1,-2.220446049250313e-16,7,-1.5543122344752192e-15
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,717,a,11901859001352538922,318,a,11901859001352538922,031c_dawns_wicked_stepsister_ch2.txt,1,-2.220446049250313e-16,7,-1.5543122344752192e-15
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,718,sweater,4691047050214028360,319,sweater,4691047050214028360,031c_dawns_wicked_stepsister_ch2.txt,1,-2.220446049250313e-16,7,-1.5543122344752192e-15
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,719,and,2283656566040971221,320,in,3002984154512732771,031c_dawns_wicked_stepsister_ch2.txt,1,0.054922390032319024,9,0.4943015102908712
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,752,has,1248239241591158246,201,has,1248239241591158246,031c_dawns_wicked_stepsister_ch2.txt,1,0.018887980752383182,11,0.207767788276215
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,753,kind,11997309252971546427,202,sort,2944576840756700711,031c_dawns_wicked_stepsister_ch2.txt,1,0.018887980752383182,11,0.207767788276215
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,754,of,886050111519832510,203,of,886050111519832510,031c_dawns_wicked_stepsister_ch2.txt,1,0.018887980752383182,11,0.207767788276215
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,755,a,11901859001352538922,204,a,11901859001352538922,031c_dawns_wicked_stepsister_ch2.txt,1,0.018887980752383182,11,0.207767788276215
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,756,big,15511632813958231649,205,big,15511632813958231649,031c_dawns_wicked_stepsister_ch2.txt,1,0.018887980752383182,11,0.207767788276215
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,757,mouth,16921435939284083306,206,mouth,16921435939284083306,031c_dawns_wicked_stepsister_ch2.txt,1,0.018887980752383182,11,0.207767788276215
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,758,and,2283656566040971221,207,.,12646065887601541794,031c_dawns_wicked_stepsister_ch2.txt,1,0.09085529974357853,14,1.2719741964100995
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,1265,.,12646065887601541794,911,.,12646065887601541794,031c_dawns_wicked_stepsister_ch2.txt,1,0.020876232573999176,10,0.20876232573999176
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,1266,She,5252949303365547547,912,she,6740321247510922449,031c_dawns_wicked_stepsister_ch2.txt,1,0.020876232573999176,10,0.20876232573999176
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,1267,'s,16428057658620181782,913,'s,16428057658620181782,031c_dawns_wicked_stepsister_ch2.txt,1,0.020876232573999176,10,0.20876232573999176
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,1268,JapaneseAmerican,3934140581214644686,914,japaneseamerican,6453293293668664894,031c_dawns_wicked_stepsister_ch2.txt,1,0.020876232573999176,10,0.20876232573999176
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,1269,and,2283656566040971221,915,and,2283656566040971221,031c_dawns_wicked_stepsister_ch2.txt,1,0.020876232573999176,10,0.20876232573999176
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,1270,has,1248239241591158246,916,has,1248239241591158246,031c_dawns_wicked_stepsister_ch2.txt,1,0.020876232573999176,10,0.20876232573999176
